18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:09:54.868: 0,0:0:0:3445,1,-19,-826,182,3010,-3360,1540,536871400,536870988,134249674,982,-22,276,1861,99803,0,0,65344,8194,-1392510048,-1,0,
18:09:55.083: 0,0:0:0:3445,1,-68,-826,85,3850,-6440,1120,-1063240706,0,1,971,7,192,1859,99817,0,0,65344,8194,-1392510048,-1,0,
18:09:55.192: 8,0:0:0:3445,1,29,-972,36,3850,-4690,5110,-1063237297,0,1,984,-17,228,1859,99829,0,0,65344,8194,-1392510048,-1,0,
18:09:55.301: 0,0:0:0:3445,1,-68,-875,134,2100,-2450,2870,-1063233645,0,1,996,-17,217,1859,99817,0,0,65344,8194,-1392510048,-1,0,
18:09:55.412: 8,0:0:0:3445,1,-19,-875,85,1680,-5530,700,-1063236736,0,1,980,-7,229,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:55.626: 0,0:0:0:3445,1,29,-826,182,1680,-4200,17290,-1063238686,0,1,976,-7,233,1859,99829,0,0,65344,8194,-1392510048,-1,0,
18:09:55.737: 8,0:0:0:3445,1,-68,-875,36,-490,-2870,700,-1063233645,0,1,981,-12,214,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:55.846: 0,0:0:0:3445,1,-117,-777,36,1260,-5110,210,-1063238405,0,1,992,-2,206,1858,99824,0,0,65344,8194,-1392510048,-1,0,
18:09:56.060: 0,0:0:0:3445,1,-68,-875,182,840,-3780,2870,-1063235597,0,1,994,-16,233,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:56.169: 8,0:0:0:3445,1,-1092,-924,134,3850,-5950,-210,-1063238686,0,1,985,-25,226,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:56.276: 0,0:0:0:3445,1,-68,-875,134,5600,-6440,-630,-1063238686,0,1,983,-2,233,1859,99817,0,0,65344,8194,-1392510048,-1,0,
18:09:56.492: 0,0:0:0:3445,1,29,-924,134,2590,-8610,210,-1063237017,0,1,979,-15,226,1859,99806,0,0,65344,8194,-1392510048,-1,0,
18:09:56.601: 32,0:0:0:3445,1,-68,-972,182,-12320,-3780,5110,-1063240107,0,1,990,-11,239,1858,99824,0,0,65344,8194,-1392510048,-1,0,
18:09:56.710: 8,0:0:0:3445,1,-117,-875,134,3850,-4690,210,-1063235878,0,1,993,-11,310,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:56.925: 0,0:0:0:3445,1,-19,-875,85,-490,-4200,1120,-1063238686,0,1,1004,-26,141,1859,99817,0,0,65344,8194,-1392510048,-1,0,
18:09:57.033: 32,0:0:0:3445,1,-19,-875,134,4340,-5530,700,-1063237017,0,1,979,1,250,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:57.142: 32,0:0:0:3445,1,-19,-924,182,-1820,-6860,210,-1063238686,0,1,984,-30,238,1858,99801,0,0,65344,8194,-1392510048,-1,0,
18:09:57.249: 0,0:0:0:3445,1,-68,-924,85,2100,-2870,1120,-1063242055,0,1,993,-31,192,1858,99801,0,0,65344,8194,-1392510048,-1,0,
18:09:57.463: 32,0:0:0:3445,1,-166,-875,134,350,-4200,-630,-1063242336,0,1,989,34,249,1859,99817,0,0,65344,8194,-1392510048,-1,0,
18:09:57.573: 8,0:0:0:3445,1,-117,-875,182,1680,-9100,3780,-1063237297,0,1,994,-51,89,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:57.683: 32,0:0:0:3445,1,-19,-875,36,4340,630,4200,-2136980510,0,1,981,-22,303,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:57.900: 8,0:0:0:3445,1,-68,-924,85,-1400,-5530,700,-1063238686,0,1,988,33,170,1858,99813,0,0,65344,8194,-1392510048,-1,0,
18:09:58.011: 32,0:0:0:3445,1,-68,-875,182,350,15050,1120,-1063238686,0,1,984,-39,202,1857,99809,0,0,65344,8194,-1392510048,-1,0,
18:09:58.120: 0,0:0:0:3445,1,-117,-924,231,6510,-9940,280,-1063240353,0,1,975,-18,255,1857,99832,0,0,65344,8194,-1392510048,-1,0,
18:09:58.333: 8,0:0:0:3445,1,-68,-875,85,6510,-8610,15960,-1063233899,0,1,980,25,178,1857,99832,0,0,65344,8194,-1392510048,-1,0,
