Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
64,138:253:65535:0,1,-214,1272,85,19880,-1089938906,-7070,0,1090038656,0,-1248,-171,67,1982,101025,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,29,1516,426,-1090172608,-536978888,-60760,1090039888,537067088,0,-1210,-310,379,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-19,1028,-256,-1090799658,-536972238,-42700,1090683248,537067088,0,-1232,-109,-138,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-166,1028,-646,-1090710658,-536963348,-42700,1090683008,537067088,0,-942,-199,-305,1982,101036,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,881,-598,-1090563128,-536965518,-23800,1090581888,537067088,0,-882,-249,-280,1982,101025,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-312,881,-402,-1090366228,-537001078,-9310,1090482848,537067088,0,-883,-317,-125,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-361,881,-256,-1090270162,-537061418,25060,1090381952,537067088,0,-875,-265,80,1982,101036,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-263,930,182,-1090266944,-537089348,31640,1090318464,537067088,0,-1019,-381,151,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-410,1223,329,-1090321596,-537060088,26390,1090275536,537067088,0,-1068,-409,103,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-361,1125,134,-1090326526,-537042798,7000,1090244416,537067088,0,-1011,-331,-49,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-361,1076,-354,-1090273414,-537050778,14490,1090220704,537067088,0,-999,-333,-104,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-361,1076,-354,-1090175052,-537055608,6580,1090188352,537067088,0,-1021,-391,-15,1983,101041,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-410,1125,36,-1090146590,-537044968,4340,1090164720,537067088,0,-1077,-461,65,1983,101029,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-458,1174,134,-1090171344,-537025438,-7980,1090147264,537067088,0,-1076,-435,56,1983,101041,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-458,1125,-158,-1090146144,-537022358,-21140,1090134384,537067088,0,-1035,-441,27,1983,101029,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-410,1125,-158,-1090112908,-537057848,-21140,1090123968,537067088,0,-1057,-399,126,1983,101029,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-410,1125,134,-1090112694,-537085848,-29540,1090109264,537067088,0,-1062,-342,188,1983,101041,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-410,1125,85,-1090139610,-537089838,-33040,1090098800,537067088,0,-952,-305,142,1982,101025,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-361,930,36,-1090142908,-537085358,-140,1090090688,537067088,0,-896,-371,32,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-410,881,-207,-1090117296,-537097818,2170,1090084816,537067088,0,-947,-341,39,1983,101029,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-312,979,-110,-1090097000,-537109368,7000,1090079920,537067088,0,-1025,-274,39,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-312,1125,85,-1090114134,-537069258,-6650,1090079904,537067088,0,-1025,-265,-57,1983,101041,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-263,1076,-207,-1090108894,-537047208,-18970,1090079984,537067088,0,-901,-274,-187,1983,101041,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-410,881,-451,-1090082994,-537043218,-5320,1090079984,537067088,0,-869,-395,-302,1983,101041,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-458,881,-598,-1090052614,-537052948,16730,1090079984,537067088,0,-870,-351,-362,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-312,930,-500,-1090029294,-537037898,7000,1090079904,537067088,0,-854,-286,-398,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-263,881,-549,-1090037204,-537026348,26810,1090079904,537067088,0,-901,-205,-447,1982,101036,65384,8194,1,0,16,1,536871680,
32,138:253:65535:0,1,-214,930,-646,-1090040704,-537061838,53550,1090079904,537067088,0,-977,-122,-492,1982,101036,65384,8194,1,0,16,1,536871680,
0,138:253:65535:0,1,-117,1076,-793,-1090018724,-537089838,24640,1090079904,537067088,0,-932,-28,-480,1982,101036,65384,8194,1,0,16,1,536871680,
8,138:253:65535:0,1,-68,930,-695,-1089991424,-537082698,16240,1090079904,537067088,0,-856,-15,-417,1982,101025,65384,8194,1,0,16,1,536871680,
