Time,Estimated_Height,Estimated_Speed,Estimated_Accel
0,2.349128,0.915672,-0.230056
1,4.645069,1.796380,-0.424613
2,6.899402,2.685396,-0.358404
3,9.139540,3.532149,-0.456984
4,11.355686,4.357481,-0.540653
5,13.516721,5.136307,-0.689838
6,15.674549,5.915550,-0.738076
7,17.781775,6.638207,-0.934868
8,19.880939,7.372493,-0.945656
9,21.952726,8.098629,-0.878237
10,23.988008,8.787972,-0.900269
11,26.013266,9.476793,-0.841922
12,27.982166,10.146315,-0.718617
13,29.935366,10.776134,-0.769198
14,31.854528,11.383520,-0.812664
15,33.750034,11.973049,-0.849949
16,35.637493,12.564089,-0.804298
17,37.496109,13.135839,-0.766918
18,39.300171,13.665276,-0.814398
19,41.081032,14.178040,-0.854993
20,42.833595,14.672302,-0.889901
21,44.560040,15.161941,-0.842544
22,46.261543,15.622506,-0.881037
23,47.901402,16.064341,-0.837346
24,49.511883,16.475895,-0.878971
25,51.130924,16.885340,-0.913976
26,52.703297,17.257435,-1.021923
27,54.267609,17.633505,-1.035414
28,55.789627,17.999998,-0.970328
29,57.280712,18.323957,-1.071430
30,58.764240,18.652761,-1.079140
31,60.202881,18.984035,-0.933365
32,61.611309,19.274220,-0.965167
33,63.010864,19.556808,-0.992191
34,64.369362,19.831478,-0.938377
35,65.715294,20.072268,-1.048527
36,67.024612,20.332232,-0.911029
37,68.325943,20.586260,-0.796003
38,69.605392,20.816164,-0.775950
39,70.857933,21.019447,-0.837227
40,72.068687,21.202650,-0.889552
41,73.257202,21.386797,-0.856539
42,74.421669,21.558874,-0.829420
43,75.541618,21.697918,-0.885070
44,76.654747,21.819342,-1.009408
45,77.760468,21.960915,-0.959040
46,78.825699,22.084345,-0.917650
47,79.865974,22.183455,-0.960926
48,80.900658,22.278746,-0.997395
49,81.898575,22.344845,-1.106189
50,82.876129,22.413885,-1.120438
51,83.836609,22.474966,-1.132759
52,84.780190,22.528267,-1.143454
53,85.699860,22.558317,-1.230358
54,86.613441,22.597736,-1.225949
55,87.486786,22.620205,-1.223044
56,88.346199,22.649416,-1.143446
57,89.199287,22.650646,-1.231699
58,90.033516,22.656395,-1.228648
59,90.809296,22.625463,-1.304652
60,91.552086,22.606470,-1.214136
61,92.288353,22.560106,-1.293205
62,93.032974,22.542780,-1.204458
63,93.735374,22.483450,-1.285695
64,94.411964,22.439339,-1.199414
65,95.103607,22.389704,-1.204165
66,95.774384,22.319445,-1.285960
67,96.428604,22.255613,-1.277405
68,97.071640,22.200806,-1.192962
69,97.663437,22.100773,-1.277959
70,98.241798,22.021534,-1.194569
71,98.803909,21.911697,-1.279764
72,99.343781,21.793749,-1.351587
73,99.876007,21.699266,-1.257026
74,100.389580,21.586178,-1.255445
75,100.861015,21.444626,-1.332297
76,101.323738,21.313671,-1.319402
77,101.770767,21.178083,-1.308805
78,102.202370,21.038017,-1.300128
79,102.618805,20.893621,-1.293054
80,103.013130,20.729395,-1.364896
81,103.399940,20.576580,-1.347761
82,103.768135,20.392807,-1.488533
83,104.139565,20.237448,-1.451560
84,104.492607,20.051365,-1.575685
85,104.817024,19.880779,-1.525356
86,105.127831,19.707129,-1.483294
87,105.441841,19.524570,-1.525285
88,105.728004,19.358217,-1.406047
89,106.013794,19.156376,-1.538256
90,106.307846,18.985285,-1.493992
91,106.569923,18.790876,-1.534811
92,106.842766,18.641087,-1.337982
93,107.073502,18.439190,-1.404334
94,107.284607,18.256990,-1.305361
95,107.484383,18.073071,-1.222444
96,107.693756,17.908381,-1.076734
97,107.893227,17.717398,-1.107899
98,108.065346,17.530277,-1.057006
99,108.208015,17.321115,-1.092206
100,108.347916,17.126089,-1.044216
101,108.484718,16.932602,-1.003900
102,108.641792,16.750153,-0.969576
103,108.775642,16.560776,-0.941116
104,108.898071,16.356642,-0.994788
105,108.999352,16.146244,-1.040089
106,109.091713,15.934711,-1.078130
107,109.175316,15.722160,-1.110078
108,109.248253,15.495144,-1.214393
109,109.314751,15.280625,-1.224438
110,109.370865,15.051899,-1.310373
111,109.420830,14.835911,-1.304994
112,109.458664,14.592381,-1.455464
113,109.504578,14.379976,-1.426497
114,109.538475,14.140159,-1.557181
115,109.548615,13.931214,-1.434787
116,109.590141,13.725780,-1.408831
117,109.621109,13.531567,-1.309694
118,109.626289,13.329876,-1.226909
119,109.618530,13.087827,-1.389915
120,109.628807,12.893603,-1.293831
121,109.624664,12.696534,-1.213391
122,109.612106,12.486314,-1.223397
123,109.578369,12.282849,-1.154625
124,109.542999,12.069026,-1.174285
125,109.518425,11.849598,-1.267880
126,109.473526,11.649663,-1.191763
127,109.421150,11.436977,-1.205375
128,109.380013,11.218882,-1.293890
129,109.299896,10.999941,-1.291309
130,109.220039,10.783988,-1.289006
131,109.182968,10.588371,-1.286123
132,109.128761,10.388323,-1.283913
133,109.073746,10.215747,-1.128649
134,109.010040,10.017529,-1.151772
135,108.939758,9.806378,-1.248615
136,108.857208,9.617890,-1.175072
137,108.751999,9.422993,-1.113700
138,108.659599,9.223495,-1.139296
139,108.565445,9.038470,-1.083237
140,108.458946,8.838403,-1.113777
141,108.351051,8.652934,-1.061858
142,108.237801,8.455262,-1.095737
143,108.123398,8.272243,-1.046615
144,107.979698,8.054466,-1.160742
145,107.859482,7.873969,-1.101009
146,107.713188,7.647337,-1.283617
147,107.639488,7.477824,-1.280383
148,107.512733,7.276130,-1.356023
149,107.390282,7.091151,-1.341824
150,107.245995,6.887019,-1.407661
151,107.088776,6.705352,-1.308125
152,106.945900,6.519745,-1.301688
153,106.800774,6.335681,-1.296218
154,106.632912,6.132038,-1.369393
155,106.490906,5.966679,-1.275272
156,106.323135,5.793447,-1.196712
157,106.157951,5.611243,-1.208100
158,105.996323,5.432818,-1.217473
159,105.837746,5.245207,-1.302609
160,105.679665,5.072517,-1.296458
161,105.501625,4.893957,-1.291574
162,105.318306,4.690170,-1.442352
163,105.145042,4.530509,-1.336188
164,104.953781,4.366140,-1.247381
165,104.795181,4.205040,-1.249602
166,104.614037,4.049531,-1.174357
167,104.432274,3.896207,-1.111156
168,104.244949,3.742950,-1.058153
169,104.057320,3.591856,-1.013605
170,103.902878,3.443837,-1.052951
171,103.724251,3.287651,-1.086327
172,103.530441,3.139837,-1.037078
173,103.362358,2.992029,-1.072625
174,103.181114,2.865758,-0.949302
175,102.995903,2.714998,-0.999155
176,102.808258,2.590126,-0.887626
177,102.616890,2.440785,-0.947369
178,102.439308,2.298717,-0.997128
179,102.259850,2.144759,-1.116258
180,102.099564,2.012741,-1.138285
181,101.915634,1.872662,-1.157134
182,101.731995,1.734435,-1.172853
183,101.550743,1.611630,-1.108467
184,101.365814,1.463836,-1.209337
185,101.201874,1.338739,-1.216015
186,101.019608,1.207751,-1.221892
187,100.854439,1.098154,-1.148972
188,100.689697,0.990554,-1.087730
189,100.501823,0.875228,-1.036735
190,100.331856,0.769009,-0.993545
191,100.160591,0.651162,-1.034718
192,99.982918,0.519299,-1.146746
193,99.805984,0.388871,-1.240624
194,99.613258,0.265904,-1.242153
195,99.419449,0.131378,-1.320822
196,99.284859,0.047852,-1.230714
197,99.118126,-0.059966,-1.233134
198,98.918701,-0.167043,-1.158282
199,98.746307,-0.248806,-1.019050
200,98.563164,-0.358327,-1.055717
201,98.369423,-0.470942,-1.086609
202,98.217690,-0.565069,-1.111650
203,98.074608,-0.654556,-1.132431
204,97.937454,-0.740559,-1.149696
205,97.826729,-0.802005,-1.086178
206,97.677025,-0.903680,-1.188488
207,97.532410,-0.977057,-1.119267
208,97.380180,-1.064937,-1.138744
209,97.217201,-1.156167,-1.155234
210,97.048363,-1.261403,-1.246563
211,96.899826,-1.344729,-1.245279
212,96.735428,-1.433442,-1.244455
213,96.567284,-1.522523,-1.243780
214,96.400558,-1.609855,-1.243133
215,96.257301,-1.686441,-1.242087
216,96.093185,-1.770549,-1.241563
217,95.931488,-1.877996,-1.395907
218,95.792152,-1.950282,-1.370000
219,95.636986,-2.027959,-1.348527
220,95.502213,-2.083449,-1.252635
221,95.366638,-2.150745,-1.249622
222,95.215378,-2.223558,-1.247352
223,95.084633,-2.274299,-1.167570
224,94.935257,-2.319116,-1.025111
225,94.785645,-2.375141,-0.981450
226,94.637848,-2.429455,-0.944757
227,94.502708,-2.477689,-0.913702
228,94.343658,-2.547622,-0.965522
229,94.184525,-2.629666,-1.086390
230,94.064812,-2.682438,-1.109532
231,93.939384,-2.749698,-1.206463
232,93.810791,-2.805172,-1.210349
233,93.685760,-2.845768,-1.136065
234,93.539223,-2.906949,-1.151582
235,93.411499,-2.959718,-1.164201
236,93.289452,-2.984368,-1.021342
237,93.159950,-3.036156,-1.054938
238,93.049202,-3.079774,-1.082729
239,92.951889,-3.117476,-1.105757
240,92.838890,-3.161221,-1.125350
241,92.731506,-3.177026,-0.988349
242,92.633629,-3.213182,-1.026540
243,92.533081,-3.237442,-0.981162
244,92.438240,-3.271524,-1.020416
245,92.344856,-3.304776,-1.053294
246,92.237930,-3.330591,-1.003671
247,92.156822,-3.332785,-0.885675
248,92.071075,-3.374111,-1.017527
249,91.986679,-3.415047,-1.128078
250,91.905602,-3.441963,-1.143281
251,91.827827,-3.454539,-1.078513
252,91.735298,-3.498071,-1.179341
253,91.656029,-3.536148,-1.263638
254,91.579941,-3.560161,-1.256824
255,91.487946,-3.590325,-1.251397
256,91.392181,-3.621607,-1.246899
257,91.312737,-3.620607,-1.089492
258,91.236816,-3.642515,-1.110689
259,91.155998,-3.666254,-1.128551
260,91.071419,-3.691315,-1.143591
261,90.972687,-3.734632,-1.233904
262,90.913078,-3.749144,-1.231445
263,90.832359,-3.772086,-1.229777
264,90.748810,-3.821313,-1.383301
265,90.668449,-3.856689,-1.434549
266,90.605255,-3.859424,-1.322305
267,90.543129,-3.861089,-1.228129
268,90.480080,-3.875324,-1.226589
269,90.401619,-3.882950,-1.148142
270,90.341118,-3.895432,-1.159431
271,90.285866,-3.880489,-1.015491
272,90.242805,-3.897879,-1.125269
273,90.185715,-3.908649,-1.140171
274,90.141708,-3.914003,-1.152414
